round,train_acc,val_acc,test_acc,dataset,model,method,seed,mean_client_test_acc
109,0.9858112276372609,0.8608534322820037,0.8813868613138686,Cora,gcn,centralized,0,
110,0.9876619370758791,0.8608534322820037,0.885036496350365,Cora,gcn,centralized,0,
111,0.9876619370758791,0.8534322820037106,0.8813868613138686,Cora,gcn,centralized,0,
112,0.9876619370758791,0.8552875695732839,0.885036496350365,Cora,gcn,centralized,0,
113,0.9851943244910549,0.8608534322820037,0.8832116788321168,Cora,gcn,centralized,0,
114,0.9851943244910549,0.8589981447124304,0.8813868613138686,Cora,gcn,centralized,0,
115,0.9876619370758791,0.8571428571428571,0.8759124087591241,Cora,gcn,centralized,0,
116,0.9882788402220851,0.8571428571428571,0.8740875912408759,Cora,gcn,centralized,0,
117,0.9882788402220851,0.8534322820037106,0.8740875912408759,Cora,gcn,centralized,0,
118,0.986428130783467,0.8571428571428571,0.8777372262773723,Cora,gcn,centralized,0,
119,0.9839605181986428,0.8571428571428571,0.8777372262773723,Cora,gcn,centralized,0,
120,0.986428130783467,0.8552875695732839,0.8759124087591241,Cora,gcn,centralized,0,
121,0.9851943244910549,0.8552875695732839,0.8740875912408759,Cora,gcn,centralized,0,
122,0.986428130783467,0.8515769944341373,0.8740875912408759,Cora,gcn,centralized,0,
123,0.9882788402220851,0.8608534322820037,0.8759124087591241,Cora,gcn,centralized,0,
124,0.9907464528069093,0.8645640074211502,0.8777372262773723,Cora,gcn,centralized,0,
125,0.9901295496607033,0.862708719851577,0.8777372262773723,Cora,gcn,centralized,0,
126,0.9882788402220851,0.8515769944341373,0.8795620437956204,Cora,gcn,centralized,0,
127,0.987045033929673,0.849721706864564,0.8795620437956204,Cora,gcn,centralized,0,
128,0.987045033929673,0.8571428571428571,0.8795620437956204,Cora,gcn,centralized,0,
129,0.9882788402220851,0.862708719851577,0.8759124087591241,Cora,gcn,centralized,0,
130,0.986428130783467,0.8645640074211502,0.8813868613138686,Cora,gcn,centralized,0,
131,0.9882788402220851,0.8552875695732839,0.8777372262773723,Cora,gcn,centralized,0,
132,0.9851943244910549,0.8571428571428571,0.8777372262773723,Cora,gcn,centralized,0,
133,0.9851943244910549,0.862708719851577,0.8777372262773723,Cora,gcn,centralized,0,
134,0.987045033929673,0.8664192949907236,0.8777372262773723,Cora,gcn,centralized,0,
135,0.9882788402220851,0.8608534322820037,0.8795620437956204,Cora,gcn,centralized,0,
136,0.987045033929673,0.8645640074211502,0.8813868613138686,Cora,gcn,centralized,0,
137,0.9845774213448488,0.8589981447124304,0.8777372262773723,Cora,gcn,centralized,0,
138,0.9845774213448488,0.8552875695732839,0.8795620437956204,Cora,gcn,centralized,0,
139,0.987045033929673,0.8608534322820037,0.8813868613138686,Cora,gcn,centralized,0,
140,0.9851943244910549,0.8664192949907236,0.8813868613138686,Cora,gcn,centralized,0,
141,0.9851943244910549,0.8608534322820037,0.8759124087591241,Cora,gcn,centralized,0,
142,0.9876619370758791,0.8589981447124304,0.8777372262773723,Cora,gcn,centralized,0,
143,0.9876619370758791,0.849721706864564,0.8777372262773723,Cora,gcn,centralized,0,
144,0.986428130783467,0.8478664192949907,0.8777372262773723,Cora,gcn,centralized,0,
145,0.9845774213448488,0.8534322820037106,0.8759124087591241,Cora,gcn,centralized,0,
146,0.9895126465144972,0.8571428571428571,0.8777372262773723,Cora,gcn,centralized,0,
147,0.9907464528069093,0.8571428571428571,0.8777372262773723,Cora,gcn,centralized,0,
148,0.9901295496607033,0.8552875695732839,0.8722627737226277,Cora,gcn,centralized,0,
149,0.9882788402220851,0.8515769944341373,0.8759124087591241,Cora,gcn,centralized,0,
150,0.987045033929673,0.862708719851577,0.8759124087591241,Cora,gcn,centralized,0,
151,0.986428130783467,0.862708719851577,0.8813868613138686,Cora,gcn,centralized,0,
152,0.987045033929673,0.862708719851577,0.8795620437956204,Cora,gcn,centralized,0,
153,0.9901295496607033,0.8589981447124304,0.8795620437956204,Cora,gcn,centralized,0,
154,0.9901295496607033,0.8589981447124304,0.8795620437956204,Cora,gcn,centralized,0,
155,0.9895126465144972,0.8608534322820037,0.8813868613138686,Cora,gcn,centralized,0,
156,0.9876619370758791,0.862708719851577,0.8813868613138686,Cora,gcn,centralized,0,
157,0.986428130783467,0.8645640074211502,0.8832116788321168,Cora,gcn,centralized,0,
158,0.9858112276372609,0.8645640074211502,0.8832116788321168,Cora,gcn,centralized,0,
159,0.9907464528069093,0.8608534322820037,0.8832116788321168,Cora,gcn,centralized,0,
